EditingRTLYes,Right to Left,
EditingRTLNo,Left to Right,
EditingRTLDefault,Default ({0}), {0} - EditingRTLYes or EditingRTLNo
EditingRTLExplanation,Change the reading direction of your blog posts.,Explanation for the right-to-left setting
EditingRTLUse,&Enter text Right to Left in Edit view.
AdvancedTransport,Character set,
AdvancedText,"Select another encoding type for your blog posts. By default, it's UTF-8.",
AdvancedName,Advanced,
AdvancedDefault,Default ({0}),"{0} - default encoding web name (e.g. ""UTF-8"")"
AdvancedXHTMLGroupName,Markup language,
AdvancedXHTMLLabel,"Select HTML or XHTML for your markup language type. By default, it's HTML.",
AdvancedXHTMLDefault,Default ({0}),{0} - yes or no
FtpHelp,How do I configure an FTP site?,
FtpFolderUrl,&Web address of the publishing folder:,
FtpFolderPath,&Path of the publishing folder:,
FtpHostname,&Host name:,
FtpText,FTP Settings,
FtpLoginDomain,FTP,
SpellNotInDict,&Not in dictionary:,
SpellAdd,A&dd,"Add misspelled word to dictionary"
SpellChange,C&hange to:,
SpellOptions,S&uggestions:,
SpellIgnore,I&gnore,
SpellIgnoreAll,&Ignore All,
SpellChangeAll,Change A&ll,
SpellChangeWord,&Change,
SpellSuggest,&Suggest,
SpellText,Check Spelling,
SpellCaps,Capitalization:,
SpellNoSuggest,(No suggestions),Used with punctuation to indicate that no alternate spellings were returned
Weblog,Blog,
Open,Open,
Drafts,Drafts,
RecentlyPosted,Recently posted,
MoreDotDotDot,More...,
MoreDrafts,More Drafts,
MoreDraftsTooltip,Open another draft not listed above,
MorePosts,More Recent Posts,
MorePostsTooltip,Open another post not listed above,
Insert,Insert,
InsertLinkDotDotDot,Hyperlink...,
InsertLink,Insert Hyperlink,
InsertLinkTooltip,Insert a hyperlink into the current document,
InsertPictureDotDotDot,Picture...,
InsertPicture,Insert Picture,
InsertPictureTooltip,Insert a picture into the current document,
InsertTableDotDotDot,Table...,
InsertTable,Insert Table,
InsertTableTooltip,Insert a table into the current document,
EmoticonsGalleryRecent,Recent,This is a category header that appears above the last 10 recently used emoticons,
EmoticonsGalleryPopular,All,This is a category header that appears above all the available emoticons,
EmoticonsTooltipOneAutoReplace,{0}  {1}, "{0} - description of emoticon, {1} - text form of emoticon e.g. :-)"
EmoticonsTooltipTwoAutoReplace,{0}  {1} or {2}, "{0} - description of emoticon, {1} - 1st text form of emoticon e.g. :-), {2} - 2nd text form of emoticon e.g. :)"
EmoticonSmile,Smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonSurprisedSmile,Surprised smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonWinkingSmile,Winking smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonBeRightBack,Be right back,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonConfusedSmile,Confused smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonAnnoyed,Annoyed,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonCryingFace,Crying face,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonHotSmile,Hot smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonAngel,Angel,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonDontTellAnyoneSmile,Don't tell anyone smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonShifty,Shifty,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonNerdSmile,Nerd smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonJustKidding,Just kidding,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonSecretTellingSmile,Secret telling smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonIDontKnowSmile,I don't know smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonPartySmile,Party smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonSleepySmile,Sleepy smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonThumbsUp,Thumbs up,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonMug,Mug,Alternate text for a beer mug emoticon. The emoticon has CHANGED from Messenger so DON'T use Messenger's localization.
EmoticonGirl,Girl,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonLeftHug,Left hug,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonVampireBat,Vampire bat,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonOpenMouthedSmile,Open-mouthed smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonSmileWithTongueOut,Smile with tongue out,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonSadSmile,Sad smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonDisappointedSmile,Disappointed smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonEmbarrassedSmile,Embarrassed smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonAngrySmile,Angry smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonDevil,Devil,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonBaringTeethSmile,Baring teeth smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonSarcasticSmile,Sarcastic smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonSickSmile,Sick smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonThinkingSmile,Thinking smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonEyeRollingSmile,Eye rolling smile,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonNinja,Ninja,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonGreenWithEnvy,Green with envy,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonLaughingOutLoud,Laughing out loud,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonRollingOnTheFloorLaughing,Rolling on the floor laughing,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonNyahNyah,Nyah-Nyah,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonAlien,Alien,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonFlirtFemale,Flirt female,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonFlirtMale,Flirt male,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonFreezing,Freezing,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonInLove,In love,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonPrincess,Princess,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonGhost,Ghost,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonPunch,Punch,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonPunk,Punk,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonSteamingMad,Steaming mad,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonWhoMe,Who me?,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonSendAKiss,Send a kiss,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonCoffeeCup,Coffee cup,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonThumbsDown,Thumbs down,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonMartiniGlass,Martini glass,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonBoy,Boy,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonRightHug,Right hug,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonBirthdayCake,Birthday cake,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonRedHeart,Red heart,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonRedLips,Red lips,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonRedRose,Red rose,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonCamera,Camera,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonCatFace,Cat face,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonTelephoneReceiver,Telephone receiver,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonNote,Note,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonStar,Star,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonClock,Clock,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonSnail,Snail,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonPlate,Plate,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonPizza,Pizza,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonAuto,Auto,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonUmbrella,Umbrella,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonComputer,Computer,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonStormCloud,Storm cloud,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonMoney,Money,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonBrokenHeart,Broken heart,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonGiftWithABow,Gift with a bow,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonWiltedRose,Wilted rose,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonFilmstrip,Filmstrip,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonDogFace,Dog face,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonLightBulb,Light bulb,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonSleepingHalfMoon,Sleeping half-moon,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonEmail,Email,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonMessenger,Messenger,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonBlackSheep,Black Sheep,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonBowl,Bowl,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonSoccerBall,Soccer ball,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonAirplane,Airplane,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonIslandWithAPalmTree,Island with a palm tree,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonMobilePhone,Mobile phone,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonLightning,Lightning,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonGoat,Goat,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonSun,Sun,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonRainbow,Rainbow,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonTurtle,Turtle,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonCallMe,Call me,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonPointingUp,Pointing up,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonFingersCrossed,Fingers crossed,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonHighFive,High five,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonWork,Work,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonBunny,Bunny,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonSchoolBus,School bus,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonPeace,Peace,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonSchool,School,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
EmoticonXbox,Xbox,Alternate text for the emoticon. The emoticon is from Messenger so use Messenger's localization to avoid duplicate work.
PublishDatePrompt,Set post date,No apostrophes (') allowed in this message
PublishDateTooltip,Post date,
PropertiesPanel,Post Properties,This is an accessibility name and should be localized.
PropertiesCategories,&Categories:,
PropertiesPageOrder,Page &Order:,For specifying the order in which Pages appear on WordPress. The value will be an integer
PropertiesPageParent,Page &Parent:,For specifying the parent Page of a Page for WordPress.
PropertiesSlug,&Slug:,A slug describes a post or page in a few words. Used by WordPress to form a permalink URL for the post. See this link for details: http://codex.wordpress.org/Glossary#Slug
PropertiesComments,Co&mments:,
PropertiesPings,P&ings:,This refers to sending an HTTP request to notify servers that a blog has been updated. For more info
PropertiesKeywords,&Keywords:,
PropertiesTags,&Tags:,This replaces Keywords for (currently) WordPress blogs only
PropertiesAuthor,&Author:,
PropertiesPassword,Pass&word:,
PropertiesTrackbacks,T&rackback URLs:,
PropertiesCommaSeparated,(comma separated),Used inside the Trackback URLs control in the post property dialog
PropertiesExcerpt,&Excerpt:,
PropertiesPublishDate,P&ublish Date:,
PropertiesDefault,(Default),"Default option for author, comment policy, etc."
PropertiesNoPageParent,(No parent),
PropertiesCommentPolicyNone,None,Comments are not allowed on the post
PropertiesCommentPolicyOpen,Open,Comments are allowed on the post
PropertiesCommentPolicyClosed,Closed,No new comments are allowed on the post
PropertiesTrackbackPolicyAllow,Allow,
PropertiesTrackbackPolicyDeny,Deny,
PropertiesAuthorsFetchingText,list of authors,
PropertiesShowHide,Close/Open Properties Panel,This is an accessibility name and should be localized.
CategoryControlSetCategories,Set categories,
CategoryControlSetCategory,Set category,
CategoryControlCategories,Categories: {0},{0} - comma-delimited list of categories
CategoryControlCategory,Category: {0},{0} - the single category that is selected
CategoryControlNoCategories,(none),
CategoryControlNoCategories2,(No categories),
DynamicCommandMenuMore,Mo&re...,If all the options can't be shown in one menu then this is the last option in a menu and it launches a form that shows all the options,
DynamicCommandMenuInsert,Insert,
TagControlSetTags,Set tags (comma separated),
AlignMenuItem,&Align,From the context menu when right-clicking on text in the editor.
PluginInsertSidebarText,{0}...,{0} will be the name provided by the plug-in.
PluginInsertSidebarTooltip,Insert a {0} into the current document,{0} will be the name provided by the plug-in (e.g. Video
TruncatedString,{0}...,{0} - a string that is being truncated
WithEllipses,{0}...,"{0} - a command name that needs to be followed with ellipses, in accordance with Windows UI guidelines"
BrowserMiniFormProgress,Retrieving...,
ConfigWizardWelcome,Welcome!,
ConfigWizardLearnMore,Learn more about {0},{0} - Open Live Writer
ConfigWizardChooseWeblogType,Choose Blog Type,"The header for the screen for choosing blog type (Spaces, SharePoint, or Other)."
ConfigWizardBasicInfo,Blog Homepage and Login,The header for the screen that prompts for homepage and login.
ConfigWizardSharePointHomepage,SharePoint Blog Homepage,
ConfigWizardComplete,Blog Configuration Complete,
ConfigWizardSharePointLogin,SharePoint blog login,
ConfigWizardSelectProvider,Select blog type,
ConfigWizardSelectWeblog,Select blog,
ConfigWizardSelectImageEndpoint,Select image collection,
ConfigWizardDetectSettings,Detecting Blog Settings,
CWBasicText,"To use {0} you must already have an account with a blog service. If you do not already have an account with an existing blog service, create one now.",{0} - Writer
CWBasicTitle,Configure {0} to work with {1},"{0} - Writer, {1} - ""your blog"" or name of blog service"
CWBasicTitleDefaultService,your blog,See CWBasicTitle
EditProxySettings,Set proxy...,
PasswordLabel,&Password:,
UsernameLabel,&User name:,
CWBasicHeader,Add a blog account,
CWBasicHomepage,Web &address of your blog:,
CWBasicHomepage2,This is the web address that visitors use to read your blog.,
CWBasicCreateAccount,If you do not already have a {0} account create one now. Click the link below to open the web page that will begin your online registration.,{0} - Microsoft Account
CWSelectBlogText,More than one blog was detected. Please select the blog that you'd like to add from the list below:,
CWSelectImageEndpointText,Please select the collection that you'd like images to be uploaded to:,
PasswordChar,0x25CF,The hex value of the single character that will be used to represent each character in a password field.
ViewWeblog,View Blog,
CWSpacesUsername,&Microsoft Account ID:,
CWLiveIDCreateAccount,"If you use Hotmail, Messenger, or Xbox LIVE, you have a Microsoft Account ID.",
RememberPassword,&Remember my password,
CWSpacesUsernameExample,(example555@hotmail.com),Example of Microsoft Account ID
CWLiveIDCreateAccount2,Don't have a Microsoft Account ID?,
CWSharePointText,To use {0} you must have a SharePoint blog.,{0} - Open Live Writer
CWSharePointHomepageUrl,Share&Point blog web address:,
CWSharePointTitle,Configure {0} for a SharePoint blog,{0} - Writer
CWSharePointTitle2,Provide SharePoint Blog Login,
CWSharePointText2,Enter the login required to publish to your SharePoint blog.,
CWSharePointUseSystemLogin,Use my &Windows user name and password,
CWGoogleBloggerTitle,Provide Google Blogger Login,
CWGoogleBloggerDescription,To configure Google Blogger please sign in.,
CWGoogleBloggerSignInSuccess,Successfully signed in,
CWTitle,Add Blog Wizard,Caption of the Add Blog Wizard window.
CWProgressHeader,Setting up your blog account,
ProgressDownloadingEditingTemplate,Downloading editing template...,
ProgressDetectingWeblogEditingStyle,Detecting blog editing theme...,
ProgressDetectingWeblogSettings,Detecting blog settings...,
ProgressDetectingWeblogCharSet,Detecting blog character set...,
ProgressDetectingWeblogCategories,Detecting blog categories...,
ProgressDetectingWeblogIcon,Detecting blog icon...,
ProgressCompletedSettingsDetection,Completed settings detection,
ProgressDownloadingWeblogEditingStyle,Downloading blog editing theme...,
ProgressSaving,Saving {0}...,{0} - a filename
ProgressDownloadFinished,Download finished,
ProgressDownloading,Downloading {0}...,{0} - a URL
ProgressCreatingEditingTemplate,Creating editing template...,
ProgressDownloadingSupportingFiles,Downloading supporting files...,
ProgressFinalizingEditingTemplateConfig,Finalizing editing template configuration...,
ProgressPreparingListOfFiles,Preparing list of files to download...,
ProgressStartingDownloadOfReferences,Starting download of references...,
ProgressDeterminingType,Determining type of {0}...,{0} - a URL
WizardBack,< &Back,
WizardNext,&Next >,
WizardFinish,Finish,
ProgressAnalyzingHomepage,Analyzing blog homepage web address and contents...,
ProgressAnalyzingWeblogList,Analyzing list of blogs...,
ProgressVerifyingInterface,Verifying blog publishing interface...,
ProgressAnalyzingInterface,Analyzing blog publishing interface...,
CWConfirmWeblogName,Blog Name,
CWConfirmSwitchToWeblog,&Switch to this blog now,
CWConfirmFTPServer,FTP Server,
CWConfirmUploadSettings,Upload Pictures To:,
CWConfirmText,"Please confirm that you would like to save this blog.",
CWConfirmText2,"Writer will periodically check for, and download, new configuration information for your blog.",
WeblogNameColon,Blog &nickname:,
CWConfirmThanks,Your blog has been set up,
CWConfirmEditWeblogSettings,&Edit Settings...,
CWWelcomeClickNext,Click Next to continue.,
CWWelcomeCaption,Welcome to the world of blogging!,
CWWelcomeAlreadyHave,I &already have a blog set up,
CWWelcomeText,"Use {0} to blog about whatever interests you. Add photos and videos, and then publish to popular blogging services, including WordPress, Blogger, and TypePad.",{0} - Open Live Writer
CWWelcomeCreate,"&Create a new blog",
CWWelcomeWP,"&WordPress",
OpenPostOpenFrom,&Open from:,
OpenPostItems,items,
OpenPostRefresh,&Refresh,
OpenPostRefreshTooltip,Refresh Posts,
OpenPostRefreshTooltipPages,Refresh Pages,
OpenPostDelete,&Delete,
OpenPostShow,&Show:,
OpenPostPages,P&ages,
OpenPostPosts,&Posts,
PageLower,page,
PostLower,post,
PagesLower,pages,
PostsLower,posts,
AboutAbout,Abou&t {0},{0} - Open Live Writer Beta
AboutVersion,{0},"{0} - version number, e.g. 2.0.1"
AboutCopyright,© 2015 .NET Foundation. All rights reserved.,
AboutConfigurationVersion,Configuration Version: {0},Displays the version of Writer's configuration file in the about dialog,
